,,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
23,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,eng Premier League,36,1980,35,35,3150,35.0,63,1.80,176,113,65.3,11,9,15,9,25.7,4,2,2,0,50.0,Matches
24,Denys Boyko\Denys-Boyko,ua UKR,GK,Málaga,es La Liga,28,1988,3,3,270,3.0,7,2.33,11,4,36.4,0,2,1,0,0.0,0,0,0,0,,Matches
25,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,eng Premier League,33,1983,22,22,1968,21.9,26,1.19,60,34,56.7,12,5,5,5,22.7,1,0,1,0,100.0,Matches
26,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Barcelona,es La Liga,33,1983,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,Matches
27,Alberto Brignoli\Alberto-Brignoli,it ITA,GK,Leganés,es La Liga,24,1991,1,0,62,0.7,3,4.35,6,3,50.0,0,0,1,0,,0,0,0,0,,Matches
28,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,38,1978,30,30,2655,29.5,24,0.81,91,67,74.7,22,3,5,12,40.0,1,1,0,0,0.0,Matches
29,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,25,1990,27,27,2430,27.0,29,1.07,97,68,72.2,16,6,5,9,33.3,2,2,0,0,0.0,Matches
30,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,eng Premier League,23,1993,5,5,450,5.0,8,1.60,24,16,66.7,1,2,2,2,40.0,0,0,0,0,,Matches
31,Willy Caballero\Willy-Caballero,ar ARG,GK,Manchester City,eng Premier League,34,1981,17,16,1452,16.1,13,0.81,45,32,75.6,11,4,1,6,37.5,4,2,0,2,0.0,Matches
32,Rafael Cabral\Rafael-Cabral,br BRA,GK,Napoli,it Serie A,26,1990,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
33,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,fr Ligue 1,22,1994,36,36,3205,35.6,35,0.98,154,119,79.9,22,10,4,11,30.6,4,4,0,0,0.0,Matches
34,Cédric Carrasso\Cedric-Carrasso,fr FRA,GK,Bordeaux,fr Ligue 1,34,1981,24,24,2160,24.0,22,0.92,71,49,73.2,10,9,5,9,37.5,3,3,0,0,0.0,Matches
35,Kiko Casilla\Kiko-Casilla,es ESP,GK,Real Madrid,es La Liga,29,1986,11,11,990,11.0,10,0.91,33,23,72.7,9,2,0,5,45.5,2,1,1,0,50.0,Matches
36,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,24,1992,20,20,1800,20.0,30,1.50,92,62,67.4,5,6,9,8,40.0,1,0,0,1,,Matches
37,Joel Castro Pereira\Joel-Castro-Pereira,pt POR,GK,Manchester Utd,eng Premier League,20,1996,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
38,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,eng Premier League,34,1982,35,35,3097,34.4,37,1.08,150,113,81.3,22,5,7,12,34.3,9,9,0,0,0.0,Matches
39,Nereo Champagne\Nereo-Champagne,ar ARG,GK,Leganés,es La Liga,31,1985,4,4,360,4.0,4,1.00,16,12,75.0,0,3,1,1,25.0,0,0,0,0,,Matches
40,Paul Charruau\Paul-Charruau,fr FRA,GK,Bastia,fr Ligue 1,23,1993,1,0,42,0.5,1,2.14,2,1,50.0,0,0,1,0,,0,0,0,0,,Matches
41,Sergei Chernik\Sergei-Chernik,by BLR,GK,Nancy,fr Ligue 1,28,1988,17,15,1377,15.3,21,1.37,67,46,73.1,3,3,9,5,33.3,3,3,0,0,0.0,Matches
42,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,es La Liga,27,1989,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
43,Fabio Coltorti\Fabio-Coltorti,ch SUI,GK,RB Leipzig,de Bundesliga,35,1980,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
44,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,29,1987,37,37,3330,37.0,56,1.51,191,135,73.3,14,7,16,7,18.9,8,5,2,1,28.6,Matches
45,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,33,1983,36,36,3236,36.0,54,1.50,203,149,76.4,9,7,20,4,11.1,9,6,2,1,25.0,Matches
46,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,32,1983,18,17,1541,17.1,26,1.52,88,62,73.9,4,4,9,1,5.9,3,3,0,0,0.0,Matches
47,Benoît Costil\Benoit-Costil,fr FRA,GK,Rennes,fr Ligue 1,29,1987,38,38,3420,38.0,42,1.11,143,101,71.3,12,14,12,12,31.6,4,1,1,2,50.0,Matches
48,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,eng Premier League,24,1992,36,36,3240,36.0,28,0.78,99,71,73.7,29,3,4,16,44.4,2,2,0,0,0.0,Matches
49,Luca Crosta\Luca-Crosta,it ITA,GK,Cagliari,it Serie A,18,1998,1,1,90,1.0,1,1.00,7,6,100.0,1,0,0,0,0.0,2,1,1,0,50.0,Matches
50,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Sporting Gijón,es La Liga,32,1984,36,36,3240,36.0,69,1.92,202,133,68.8,6,10,20,7,19.4,8,6,2,0,25.0,Matches
51,Morgan De Sanctis\Morgan-De-Sanctis,it ITA,GK,Monaco,fr Ligue 1,39,1977,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
52,Paul Delecroix\Paul-Delecroix,fr FRA,GK,Lorient,fr Ligue 1,27,1988,7,7,630,7.0,18,2.57,39,21,59.0,2,2,3,0,0.0,2,2,0,0,0.0,Matches
53,Thomas Didillon\Thomas-Didillon,fr FRA,GK,Metz,fr Ligue 1,20,1995,32,32,2880,32.0,64,2.00,192,128,69.3,9,8,15,9,28.1,6,5,1,0,16.7,Matches
54,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,25,1990,3,3,270,3.0,4,1.33,12,8,66.7,2,0,1,1,33.3,0,0,0,0,,Matches
55,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,17,1999,38,38,3420,38.0,45,1.18,189,144,78.8,18,9,11,12,31.6,10,5,2,3,28.6,Matches
56,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,18,1997,1,1,90,1.0,2,2.00,6,4,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
57,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Caen,fr Ligue 1,27,1989,2,2,180,2.0,2,1.00,11,9,90.9,1,0,1,1,50.0,1,1,0,0,0.0,Matches
58,Jaroslav Drobný\Jaroslav-Drobny,cz CZE,GK,Werder Bremen,de Bundesliga,36,1979,10,10,849,9.4,15,1.59,45,30,71.1,3,4,2,1,10.0,2,2,0,0,0.0,Matches
59,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,fr Ligue 1,23,1993,16,16,1440,16.0,20,1.25,63,43,73.0,8,3,5,5,31.3,3,3,0,0,0.0,Matches
60,Vincent Enyeama\Vincent-Enyeama,ng NGA,GK,Lille,fr Ligue 1,33,1982,32,32,2854,31.7,40,1.26,125,85,71.2,10,7,15,8,25.0,6,4,1,1,20.0,Matches
61,Michael Esser\Michael-Esser,de GER,GK,Darmstadt 98,de Bundesliga,28,1987,28,28,2484,27.6,50,1.81,144,94,68.8,6,3,19,3,10.7,7,5,1,1,16.7,Matches
62,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,Swansea City,eng Premier League,31,1985,37,37,3330,37.0,69,1.86,174,105,63.8,11,5,21,8,21.6,8,6,1,1,14.3,Matches
63,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,27,1988,34,34,3060,34.0,40,1.18,118,78,71.2,11,10,13,8,23.5,10,6,4,0,40.0,Matches
64,Adam Federici\Adam-Federici,au AUS,GK,Bournemouth,eng Premier League,31,1985,2,2,180,2.0,3,1.50,8,5,62.5,1,0,1,1,50.0,1,0,0,1,,Matches
65,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Osasuna,es La Liga,18,1998,1,0,45,0.5,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
66,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,29,1986,15,14,1316,14.6,18,1.23,76,58,81.6,9,1,5,5,35.7,4,4,0,0,0.0,Matches
67,Mario Fernández\Mario-Fernandez,es ESP,GK,Osasuna,es La Liga,28,1988,7,7,585,6.5,14,2.15,37,23,64.9,0,4,3,1,14.3,3,1,2,0,66.7,Matches
68,Marco Festa\Marco-Festa,it ITA,GK,Crotone,it Serie A,24,1992,3,2,184,2.0,4,1.96,13,9,69.2,0,0,2,0,0.0,1,0,0,1,,Matches
69,Vincenzo Fiorillo\Vincenzo-Fiorillo,it ITA,GK,Pescara,it Serie A,26,1990,9,9,810,9.0,15,1.67,42,27,66.7,1,3,5,1,11.1,1,1,0,0,0.0,Matches
70,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,28,1988,38,38,3420,38.0,48,1.26,130,82,67.7,12,10,16,14,36.8,9,6,1,2,14.3,Matches
71,Ben Foster\Ben-Foster,eng ENG,GK,West Brom,eng Premier League,33,1983,38,38,3420,38.0,51,1.34,160,109,70.0,12,9,17,6,15.8,3,3,0,0,0.0,Matches
72,Andrea Fulignati\Andrea-Fulignati,it ITA,GK,Palermo,it Serie A,21,1994,9,9,810,9.0,14,1.56,44,30,70.5,3,2,4,3,33.3,1,1,0,0,0.0,Matches
73,Gabriel\Gabriel,br BRA,GK,Cagliari,it Serie A,23,1992,3,3,270,3.0,5,1.67,13,8,69.2,1,1,1,0,0.0,1,1,0,0,0.0,Matches
74,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,25,1990,35,35,3150,35.0,29,0.83,103,74,75.7,16,14,5,14,40.0,4,4,0,0,0.0,Matches
75,Dani Giménez\Dani-Gimenez,es ESP,GK,Betis,es La Liga,33,1983,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,,Matches
76,Shay Given\Shay-Given,ie IRL,GK,Stoke City,eng Premier League,40,1976,5,5,450,5.0,14,2.80,33,19,60.6,0,1,4,0,0.0,2,1,1,0,50.0,Matches
77,Mauro Goicoechea\Mauro-Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,28,1988,2,2,180,2.0,0,0.00,8,8,100.0,0,2,0,2,100.0,0,0,0,0,,Matches
78,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,it Serie A,21,1995,4,4,360,4.0,1,0.25,12,11,91.7,3,1,0,3,75.0,0,0,0,0,,Matches
79,Heurelho Gomes\Heurelho-Gomes,br BRA,GK,Watford,eng Premier League,35,1981,38,38,3337,37.1,64,1.73,177,113,65.5,11,7,19,6,15.8,4,3,1,0,25.0,Matches
80,Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,25,1990,1,1,90,1.0,2,2.00,4,2,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
81,Lee Grant\Lee-Grant,eng ENG,GK,Stoke City,eng Premier League,33,1983,28,28,2520,28.0,34,1.21,123,89,72.4,10,8,10,9,32.1,0,0,0,0,,Matches
82,Théo Guivarch\Theo-Guivarch,fr FRA,GK,Guingamp,fr Ligue 1,20,1995,1,0,50,0.6,2,3.60,4,2,75.0,0,0,1,0,,1,1,0,0,0.0,Matches
83,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,de Bundesliga,26,1990,33,33,2970,33.0,39,1.18,102,63,64.7,19,7,7,9,27.3,5,3,2,0,40.0,Matches
84,Brad Guzan\Brad-Guzan,us USA,GK,Middlesbrough,eng Premier League,31,1984,10,10,900,10.0,17,1.70,53,36,69.8,2,3,5,3,30.0,2,1,0,1,0.0,Matches
85,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,it Serie A,32,1984,37,37,3330,37.0,47,1.27,157,110,73.2,18,5,14,9,24.3,6,5,1,0,16.7,Matches
86,Martin Hansen\Martin-Hansen,dk DEN,GK,Ingolstadt 04,de Bundesliga,26,1990,23,23,2037,22.6,34,1.50,98,64,70.4,8,5,10,3,13.0,6,5,1,0,16.7,Matches
87,Joe Hart\Joe-Hart,eng ENG,GK,Torino,it Serie A,29,1987,36,36,3240,36.0,62,1.72,166,104,66.3,12,14,10,5,13.9,6,6,0,0,0.0,Matches
88,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,eng Premier League,30,1986,35,35,3150,35.0,48,1.37,189,141,76.7,11,7,17,10,28.6,5,4,1,0,20.0,Matches
89,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,eng Premier League,29,1987,29,29,2610,29.0,46,1.59,133,87,66.9,9,3,17,7,24.1,2,2,0,0,0.0,Matches
90,Iago Herrerín\Iago-Herrerin,es ESP,GK,Leganés,es La Liga,28,1988,21,21,1827,20.3,25,1.23,75,50,70.7,4,6,10,6,28.6,4,3,1,0,25.0,Matches
91,Daniel Heuer Fernandes\Daniel-Heuer-Fernandes,pt POR,GK,Darmstadt 98,de Bundesliga,23,1992,7,6,576,6.4,13,2.03,43,30,72.1,1,1,4,0,0.0,1,1,0,0,0.0,Matches
92,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Augsburg,de Bundesliga,28,1987,32,32,2880,32.0,50,1.56,162,112,71.6,9,9,14,7,21.9,5,4,0,1,0.0,Matches
93,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,23,1993,20,20,1800,20.0,24,1.20,91,67,76.9,9,6,5,6,30.0,3,3,0,0,0.0,Matches
94,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Eint Frankfurt,de Bundesliga,26,1989,33,33,2883,32.0,40,1.25,111,71,66.7,10,9,13,10,30.3,4,3,0,1,0.0,Matches
95,Jannik Huth\Jannik-Huth,de GER,GK,Mainz 05,de Bundesliga,22,1994,7,7,630,7.0,9,1.29,26,17,65.4,2,2,3,2,28.6,0,0,0,0,,Matches
96,Gorka Iraizoz\Gorka-Iraizoz,es ESP,GK,Athletic Club,es La Liga,35,1981,16,15,1405,15.6,21,1.35,64,43,68.8,5,4,7,2,13.3,3,1,2,0,66.7,Matches
97,Eldin Jakupović\Eldin-Jakupovic,ch SUI,GK,Hull City,eng Premier League,31,1984,22,22,1980,22.0,36,1.64,107,71,70.1,8,4,10,5,22.7,7,4,2,1,33.3,Matches
98,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,31,1984,34,34,3060,34.0,47,1.38,150,103,71.3,15,4,15,11,32.4,5,4,1,0,20.0,Matches
99,Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,Guingamp,fr Ligue 1,26,1990,37,37,3280,36.4,51,1.40,153,102,70.6,13,8,15,8,21.6,10,6,2,2,25.0,Matches
100,Geoffrey Jourdren\Geoffrey-Jourdren,fr FRA,GK,Montpellier,fr Ligue 1,30,1986,13,13,1170,13.0,28,2.15,64,36,60.9,3,4,6,1,7.7,3,3,0,0,0.0,Matches
101,Carlos Kameni\Carlos-Kameni,cm CMR,GK,Málaga,es La Liga,32,1984,35,35,3150,35.0,48,1.37,152,104,72.4,12,8,15,8,22.9,7,6,1,0,14.3,Matches
102,Loris Karius\Loris-Karius,de GER,GK,Liverpool,eng Premier League,23,1993,10,10,900,10.0,12,1.20,32,20,65.6,6,3,1,3,30.0,1,1,0,0,0.0,Matches
103,Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Udinese,it Serie A,31,1985,33,33,2958,32.9,45,1.37,129,84,70.5,11,7,15,7,21.2,8,7,0,1,0.0,Matches
104,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Metz,fr Ligue 1,33,1983,5,5,450,5.0,6,1.20,23,17,73.9,2,1,2,1,20.0,1,0,1,0,100.0,Matches
105,Thomas Kessler\Thomas-Kessler,de GER,GK,Köln,de Bundesliga,30,1986,13,13,1170,13.0,18,1.38,64,46,73.4,3,6,4,3,23.1,1,1,0,0,0.0,Matches
106,Alban Lafont\Alban-Lafont,fr FRA,GK,Toulouse,fr Ligue 1,17,1999,36,36,3240,36.0,41,1.14,158,117,79.1,10,12,14,10,27.8,9,8,1,0,11.1,Matches
107,Eugenio Lamanna\Eugenio-Lamanna,it ITA,GK,Genoa,it Serie A,26,1989,21,20,1883,20.9,37,1.77,95,58,62.1,5,4,12,2,10.0,3,1,1,1,50.0,Matches
108,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Bastia,fr Ligue 1,30,1985,34,34,3017,33.5,43,1.28,144,101,72.9,8,9,16,8,23.5,8,4,3,1,42.9,Matches
109,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Lorient,fr Ligue 1,25,1991,31,31,2790,31.0,52,1.68,162,110,69.1,8,4,19,4,12.9,4,2,1,1,33.3,Matches
110,Bernd Leno\Bernd-Leno,de GER,GK,Leverkusen,de Bundesliga,24,1992,34,34,3060,34.0,55,1.62,160,105,67.5,11,8,15,6,17.6,3,3,0,0,0.0,Matches
111,Benjamin Leroy\Benjamin-Leroy,fr FRA,GK,Dijon,fr Ligue 1,27,1989,1,1,90,1.0,0,0.00,2,2,100.0,0,1,0,1,100.0,1,0,0,1,,Matches
112,Alexandre Letellier\Alexandre-Letellier,fr FRA,GK,Angers,fr Ligue 1,25,1990,6,6,540,6.0,9,1.50,26,17,65.4,1,1,4,1,16.7,0,0,0,0,,Matches
113,Luca Lezzerini\Luca-Lezzerini,it ITA,GK,Fiorentina,it Serie A,21,1995,1,0,51,0.6,0,0.00,2,2,100.0,1,0,0,0,,0,0,0,0,,Matches
114,Heinz Lindner\Heinz-Lindner,at AUT,GK,Eint Frankfurt,de Bundesliga,26,1990,2,1,175,1.9,3,1.54,9,6,66.7,1,0,1,1,100.0,0,0,0,0,,Matches
115,Raúl Lizoain\Raul-Lizoain,es ESP,GK,Las Palmas,es La Liga,25,1991,13,13,1170,13.0,28,2.15,72,44,66.7,3,4,6,3,23.1,4,4,0,0,0.0,Matches
116,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,29,1986,34,34,3004,33.4,24,0.72,101,77,77.2,24,5,4,15,44.1,1,1,0,0,0.0,Matches
117,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,25,1990,37,37,3330,37.0,46,1.24,141,95,70.9,19,4,13,12,32.4,6,5,1,0,16.7,Matches
118,Diego López\Diego-Lopez,es ESP,GK,Espanyol,es La Liga,34,1981,35,35,3110,34.6,38,1.10,153,115,76.5,15,9,11,11,31.4,2,2,0,0,0.0,Matches
119,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Mainz 05,de Bundesliga,27,1989,27,27,2430,27.0,46,1.70,134,88,67.9,8,5,14,5,18.5,4,3,1,0,25.0,Matches
120,Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,de Bundesliga,29,1987,2,2,180,2.0,1,0.50,14,13,92.9,0,2,0,1,50.0,0,0,0,0,,Matches
121,Germán Lux\German-Lux,ar ARG,GK,La Coruña,es La Liga,34,1982,25,25,2205,24.5,38,1.55,116,78,69.0,5,7,13,6,24.0,2,2,0,0,0.0,Matches
122,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,20,1995,7,6,566,6.3,7,1.11,28,21,75.0,3,0,3,3,50.0,0,0,0,0,,Matches
123,Anthony Maisonnial\Anthony-Maisonnial,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,1998,2,1,168,1.9,2,1.07,12,10,83.3,0,1,1,1,100.0,0,0,0,0,,Matches
124,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Crystal Palace,eng Premier League,31,1985,9,9,810,9.0,17,1.89,43,26,60.5,3,2,4,0,0.0,0,0,0,0,,Matches
125,Vito Mannone\Vito-Mannone,it ITA,GK,Sunderland,eng Premier League,28,1988,9,9,810,9.0,19,2.11,59,40,71.2,1,2,6,2,22.2,2,2,0,0,0.0,Matches
126,Federico Marchetti\Federico-Marchetti,it ITA,GK,Lazio,it Serie A,33,1983,17,17,1485,16.5,22,1.33,76,54,72.4,9,4,4,2,11.8,5,1,2,2,66.7,Matches
127,Diego Mariño\Diego-Marino,es ESP,GK,Sporting Gijón,es La Liga,26,1990,2,2,180,2.0,3,1.50,12,9,83.3,1,0,1,0,0.0,1,1,0,0,0.0,Matches
128,David Marshall\David-Marshall,sco SCO,GK,Hull City,eng Premier League,31,1985,16,16,1440,16.0,44,2.75,107,63,65.4,1,3,12,0,0.0,7,7,0,0,0.0,Matches
129,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,eng Premier League,23,1992,2,2,180,2.0,3,1.50,8,5,75.0,1,0,1,1,50.0,1,1,0,0,0.0,Matches
130,Christian Mathenia\Christian-Mathenia,de GER,GK,Hamburger SV,de Bundesliga,24,1992,14,14,1260,14.0,19,1.36,58,39,70.7,5,4,5,3,21.4,2,2,0,0,0.0,Matches
131,Mathieu Michel\Mathieu-Michel,fr FRA,GK,Angers,fr Ligue 1,24,1991,23,23,2070,23.0,25,1.09,69,44,65.2,11,4,8,8,34.8,1,1,0,0,0.0,Matches
132,Tom Mickel\Tom-Mickel,de GER,GK,Hamburger SV,de Bundesliga,27,1989,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,Matches
133,Simon Mignolet\Simon-Mignolet,be BEL,GK,Liverpool,eng Premier League,28,1988,28,28,2520,28.0,30,1.07,82,52,65.9,16,7,5,9,32.1,4,2,2,0,50.0,Matches
134,Antonio Mirante\Antonio-Mirante,it ITA,GK,Bologna,it Serie A,33,1983,21,21,1879,20.9,32,1.53,100,68,69.0,7,4,10,8,38.1,3,1,1,1,50.0,Matches
135,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,30,1986,6,6,460,5.1,3,0.59,26,23,88.5,3,1,1,2,33.3,0,0,0,0,,Matches
136,Sven Müller\Sven-Muller,de GER,GK,Köln,de Bundesliga,20,1996,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
137,Guy N'dy Assembé\Guy-Ndy-Assembe,cm CMR,GK,Nancy,fr Ligue 1,30,1986,23,23,2043,22.7,31,1.37,103,72,73.8,6,5,12,6,26.1,5,4,1,0,20.0,Matches
138,Keylor Navas\Keylor-Navas,cr CRC,GK,Real Madrid,es La Liga,29,1986,27,27,2430,27.0,31,1.15,119,88,74.8,20,4,3,5,18.5,2,1,0,1,0.0,Matches
139,Neto\Neto,br BRA,GK,Juventus,it Serie A,27,1989,8,7,675,7.5,2,0.27,15,13,86.7,6,1,0,5,71.4,0,0,0,0,,Matches
