Player,Nation,Pos,Squad,Comp,Born,goals_allowed,penalties_alllowed,free_kicks_allowed,corners_allowed,own_goals,PSxG,PSxG_per_SoT,PSxG_difference,long_passes_cmp,long_passes_attempted,long_pass_completion,passes_attempted,throws_attempted,launch_percentage,avg_pass_length,goal_kicks_attempted,goal_kicks_long_percentage,goal_kick_len,crosses_attempted,crosses_stopped,stop_percentage,defensive_actions,AvgDist,Season
Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,1988,24,2,0.0,3.0,0.0,20.7,0.33,-3.3,56.0,190.0,29.5,460.0,83.0,35.4,34.6,59.0,45.8,44.3,148.0,12.0,8.1,13.0,15.3,2019
Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,1997,1,0,0.0,0.0,0.0,1.1,0.27,0.1,8.0,23.0,34.8,41.0,6.0,39.0,41.5,8.0,87.5,66.8,11.0,1.0,9.1,0.0,14.0,2019
Antonio Mirante,it ITA,GK,Bologna,it Serie A,1983,46,2,1.0,5.0,3.0,41.6,0.28,-1.4,372.0,715.0,52.0,922.0,139.0,53.5,42.7,289.0,76.8,54.0,403.0,28.0,6.9,31.0,15.1,2019
Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,1986,6,1,1.0,1.0,0.0,7.5,0.26,1.5,21.0,59.0,35.6,74.0,10.0,47.3,41.7,24.0,100.0,69.6,47.0,6.0,12.8,0.0,10.6,2019
Florian Müller,de GER,GK,Mainz 05,de Bundesliga,1997,7,0,0.0,2.0,0.0,6.1,0.3,-0.9,31.0,98.0,31.6,119.0,24.0,52.9,42.0,41.0,85.4,60.6,51.0,1.0,2.0,3.0,13.6,2019
Yvon Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,1994,1,0,0.0,0.0,0.0,1.2,0.29,0.2,7.0,14.0,50.0,32.0,5.0,31.3,29.9,4.0,100.0,70.0,6.0,0.0,0.0,4.0,21.7,2019
Boaz Myhill,wal WAL,GK,West Brom,eng Premier League,1982,1,0,0.0,0.0,0.0,1.3,0.43,0.3,6.0,12.0,50.0,10.0,0.0,80.0,49.9,5.0,80.0,53.4,15.0,2.0,13.3,0.0,6.0,2019
Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,1986,31,2,0.0,8.0,1.0,33.8,0.28,3.8,59.0,153.0,38.6,434.0,90.0,24.7,31.7,63.0,73.0,57.6,215.0,22.0,10.2,19.0,15.1,2019
Neto,br BRA,GK,Valencia,es La Liga,1989,33,3,1.0,5.0,0.0,44.2,0.27,11.2,143.0,383.0,37.3,420.0,92.0,55.7,44.0,171.0,87.1,63.5,353.0,27.0,7.6,6.0,13.1,2019
Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,1986,2,0,0.0,0.0,0.0,1.5,0.19,-0.5,18.0,28.0,64.3,73.0,8.0,35.6,34.3,8.0,25.0,32.6,5.0,0.0,0.0,1.0,12.1,2019
Alexander Nübel,de GER,GK,Schalke 04,de Bundesliga,1996,0,0,0.0,0.0,0.0,0.4,0.19,0.4,6.0,13.0,46.2,13.0,3.0,38.5,42.2,9.0,88.9,53.6,5.0,0.0,0.0,0.0,12.5,2019
Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,1993,22,1,1.0,2.0,1.0,32.5,0.24,11.5,151.0,447.0,33.8,497.0,70.0,60.0,45.1,181.0,82.3,58.2,378.0,30.0,7.9,10.0,14.1,2019
Oier Olazábal,es ESP,GK,Levante,es La Liga,1989,39,5,0.0,4.0,3.0,41.2,0.33,5.2,151.0,397.0,38.0,395.0,49.0,67.1,48.8,144.0,91.7,61.5,278.0,27.0,9.7,12.0,13.3,2019
David Ospina,co COL,GK,Arsenal,eng Premier League,1988,3,0,0.0,1.0,0.0,3.8,0.27,0.8,17.0,35.0,48.6,86.0,11.0,27.9,33.0,14.0,78.6,53.8,53.0,2.0,3.8,3.0,11.8,2019
Alexandre Oukidja,dz ALG,GK,Strasbourg,fr Ligue 1,1988,29,4,0.0,1.0,0.0,27.6,0.34,-1.4,102.0,290.0,35.2,299.0,44.0,65.2,48.0,102.0,93.1,67.3,156.0,16.0,10.3,7.0,13.9,2019
Ramazan Özcan,at AUT,GK,Leverkusen,de Bundesliga,1984,4,0,0.0,0.0,0.0,3.2,0.42,-0.8,4.0,12.0,33.3,32.0,6.0,31.3,34.1,6.0,33.3,32.8,6.0,0.0,0.0,1.0,19.2,2019
Fernando Pacheco,es ESP,GK,Alavés,es La Liga,1992,50,7,2.0,7.0,2.0,53.3,0.28,5.3,248.0,586.0,42.3,532.0,69.0,70.1,47.4,228.0,93.4,62.2,413.0,21.0,5.1,9.0,12.9,2019
Costel Pantilimon,ro ROU,GK,La Coruña,es La Liga,1987,9,1,0.0,0.0,1.0,7.1,0.28,-0.9,37.0,85.0,43.5,96.0,15.0,60.4,43.2,31.0,87.1,61.6,48.0,2.0,4.2,2.0,16.0,2019
Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,1992,40,2,0.0,6.0,2.0,44.1,0.27,6.1,250.0,613.0,40.8,901.0,175.0,50.9,42.4,244.0,63.1,51.7,282.0,18.0,6.4,14.0,13.3,2019
Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,1981,1,0,0.0,0.0,1.0,0.7,0.15,0.7,5.0,26.0,19.2,27.0,7.0,66.7,42.7,11.0,72.7,48.9,14.0,0.0,0.0,0.0,11.0,2019
Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,1982,10,0,0.0,0.0,1.0,7.8,0.27,-1.2,36.0,83.0,43.4,149.0,26.0,37.6,34.8,35.0,77.1,56.2,69.0,4.0,5.8,7.0,16.2,2019
Mattia Perin,it ITA,GK,Genoa,it Serie A,1992,42,4,1.0,2.0,2.0,43.5,0.24,3.5,323.0,791.0,40.8,874.0,114.0,58.0,43.9,319.0,89.0,60.2,365.0,21.0,5.8,20.0,13.9,2019
Jordan Pickford,eng ENG,GK,Everton,eng Premier League,1994,58,3,0.0,7.0,0.0,57.8,0.31,-0.2,285.0,834.0,34.2,884.0,129.0,67.4,53.7,257.0,92.6,74.0,413.0,30.0,7.3,28.0,15.3,2019
Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,1990,1,0,0.0,0.0,0.0,0.8,0.42,-0.2,1.0,2.0,50.0,6.0,3.0,33.3,28.5,0.0,,,4.0,2.0,50.0,0.0,,2019
Julian Pollersbeck,de GER,GK,Hamburger SV,de Bundesliga,1994,15,0,1.0,1.0,0.0,16.5,0.37,1.5,80.0,213.0,37.6,481.0,46.0,38.3,36.7,63.0,46.0,44.0,72.0,9.0,12.5,20.0,18.8,2019
Nick Pope,eng ENG,GK,Burnley,eng Premier League,1992,35,3,0.0,3.0,1.0,44.7,0.28,10.7,295.0,868.0,34.0,791.0,90.0,80.8,59.0,238.0,96.2,74.9,442.0,52.0,11.8,20.0,15.2,2019
Andrés Prieto,es ESP,GK,Málaga,es La Liga,1993,10,2,0.0,0.0,0.0,9.2,0.43,-0.8,24.0,65.0,36.9,57.0,1.0,75.4,53.9,22.0,100.0,70.3,32.0,4.0,12.5,0.0,11.5,2019
Jérôme Prior,fr FRA,GK,Bordeaux,fr Ligue 1,1995,3,0,0.0,0.0,0.0,2.0,0.24,-1.0,4.0,15.0,26.7,20.0,2.0,55.0,39.8,5.0,80.0,55.8,21.0,1.0,4.8,1.0,14.1,2019
Christian Puggioni,it ITA,GK,Sampdoria,it Serie A,1981,12,3,0.0,1.0,0.0,15.4,0.27,3.4,54.0,127.0,42.5,217.0,45.0,43.8,36.9,64.0,50.0,41.2,93.0,10.0,10.8,13.0,16.6,2019
Christian Puggioni,it ITA,GK,Benevento,it Serie A,1981,26,5,0.0,3.0,0.0,23.9,0.34,-2.1,81.0,187.0,43.3,326.0,71.0,36.5,34.9,107.0,63.6,46.9,147.0,16.0,10.9,9.0,14.3,2019
Rafael,br BRA,GK,Cagliari,it Serie A,1982,11,1,0.0,3.0,0.0,14.5,0.35,3.5,72.0,173.0,41.6,156.0,25.0,64.7,43.9,91.0,79.1,53.2,113.0,10.0,8.8,2.0,13.1,2019
Toño Ramírez,es ESP,GK,Real Sociedad,es La Liga,1986,6,0,0.0,1.0,0.0,3.5,0.32,-2.5,17.0,50.0,34.0,103.0,10.0,35.9,32.2,15.0,86.7,58.4,29.0,1.0,3.4,0.0,11.7,2019
Pepe Reina,es ESP,GK,Napoli,it Serie A,1982,29,2,2.0,4.0,0.0,26.1,0.25,-2.9,173.0,361.0,47.9,885.0,150.0,30.5,33.3,191.0,47.6,41.7,223.0,10.0,4.5,31.0,16.7,2019
Baptiste Reynet,fr FRA,GK,Dijon,fr Ligue 1,1990,73,11,2.0,7.0,3.0,74.5,0.32,4.5,285.0,650.0,43.8,1153.0,171.0,45.8,40.2,182.0,67.0,52.6,446.0,47.0,10.5,48.0,16.9,2019
Sergio Rico,es ESP,GK,Sevilla,es La Liga,1993,39,3,1.0,5.0,0.0,32.6,0.32,-6.4,93.0,254.0,36.6,411.0,93.0,42.6,36.2,101.0,78.2,56.0,231.0,26.0,11.3,6.0,12.5,2019
Asier Riesgo,es ESP,GK,Eibar,es La Liga,1983,1,0,0.0,1.0,0.0,1.6,0.4,0.6,10.0,28.0,35.7,19.0,1.0,100.0,60.3,9.0,100.0,67.3,16.0,3.0,18.8,0.0,7.0,2019
Roberto,es ESP,GK,Málaga,es La Liga,1986,51,4,1.0,3.0,0.0,49.0,0.32,-2.0,238.0,604.0,39.4,576.0,62.0,69.1,50.5,221.0,93.2,66.4,344.0,37.0,10.8,15.0,12.5,2019
Sergio Romero,ar ARG,GK,Manchester Utd,eng Premier League,1987,0,0,0.0,0.0,0.0,1.1,0.29,1.1,9.0,13.0,69.2,12.0,2.0,66.7,43.8,6.0,83.3,60.7,9.0,1.0,11.1,0.0,13.0,2019
Francesco Rossi,it ITA,GK,Atalanta,it Serie A,1991,1,0,0.0,1.0,0.0,0.9,0.46,-0.1,1.0,1.0,100.0,3.0,2.0,33.3,29.7,0.0,,,0.0,0.0,,0.0,9.0,2019
Rubén,es ESP,GK,La Coruña,es La Liga,1984,58,2,3.0,9.0,2.0,49.0,0.34,-7.0,112.0,323.0,34.7,377.0,72.0,55.4,43.1,137.0,83.2,62.1,308.0,30.0,9.7,8.0,13.3,2019
Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,1986,44,5,2.0,3.0,1.0,46.1,0.28,3.1,164.0,465.0,35.3,737.0,90.0,46.8,38.6,151.0,79.5,53.1,359.0,32.0,8.9,15.0,14.6,2019
Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,1992,45,4,2.0,6.0,1.0,35.7,0.32,-8.3,157.0,348.0,45.1,848.0,69.0,36.0,34.8,68.0,63.2,47.3,212.0,24.0,11.3,22.0,15.7,2019
Mathew Ryan,au AUS,GK,Brighton,eng Premier League,1992,54,1,1.0,15.0,4.0,54.2,0.31,4.2,301.0,753.0,40.0,697.0,91.0,71.3,49.1,264.0,97.0,65.4,416.0,24.0,5.8,11.0,12.5,2019
Mamadou Samassa,ml MLI,GK,Troyes,fr Ligue 1,1990,31,2,0.0,4.0,1.0,29.1,0.25,0.1,92.0,318.0,28.9,380.0,75.0,53.2,43.9,119.0,97.5,65.5,269.0,23.0,8.6,11.0,15.6,2019
Brice Samba,cg CGO,GK,Caen,fr Ligue 1,1994,4,1,0.0,0.0,0.0,5.6,0.27,1.6,23.0,56.0,41.1,63.0,10.0,57.1,45.3,24.0,83.3,62.3,21.0,0.0,0.0,1.0,11.4,2019
Antonio Santurro,it ITA,GK,Bologna,it Serie A,1992,1,0,0.0,0.0,0.0,2.1,0.42,1.1,10.0,33.0,30.3,29.0,3.0,69.0,54.2,13.0,100.0,62.0,14.0,0.0,0.0,1.0,10.9,2019
Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,1986,47,1,3.0,10.0,1.0,39.3,0.28,-6.7,258.0,694.0,37.2,739.0,79.0,66.4,49.9,210.0,96.7,72.2,338.0,31.0,9.2,28.0,15.9,2019
Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,1992,53,4,1.0,9.0,4.0,44.6,0.3,-4.4,319.0,791.0,40.3,1022.0,116.0,52.4,42.7,288.0,88.5,66.0,326.0,19.0,5.8,30.0,18.2,2019
Simone Scuffet,it ITA,GK,Udinese,it Serie A,1996,11,0,0.0,2.0,1.0,8.1,0.27,-1.9,36.0,99.0,36.4,113.0,20.0,60.2,43.1,36.0,86.1,55.9,52.0,6.0,11.5,1.0,12.4,2019
Luigi Sepe,it ITA,GK,Napoli,it Serie A,1991,0,0,0.0,0.0,0.0,0.3,0.28,0.3,3.0,4.0,75.0,14.0,2.0,14.3,27.7,5.0,40.0,42.0,5.0,1.0,20.0,0.0,14.5,2019
Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,1991,7,0,0.0,1.0,0.0,7.5,0.3,0.5,13.0,24.0,54.2,29.0,10.0,31.0,31.9,20.0,75.0,54.0,21.0,2.0,9.5,0.0,12.3,2019
Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,1988,10,0,0.0,0.0,0.0,10.0,0.42,0.0,34.0,90.0,37.8,148.0,14.0,45.3,41.0,29.0,79.3,58.2,41.0,2.0,4.9,6.0,18.0,2019
Salvatore Sirigu,it ITA,GK,Torino,it Serie A,1987,45,5,3.0,5.0,0.0,48.4,0.27,3.4,255.0,571.0,44.7,943.0,185.0,42.0,37.4,270.0,64.8,47.9,399.0,31.0,7.8,34.0,14.6,2019
Antonio Sivera,es ESP,GK,Alavés,es La Liga,1996,1,0,0.0,0.0,0.0,0.3,0.17,0.3,5.0,10.0,50.0,8.0,2.0,75.0,50.1,4.0,100.0,67.8,5.0,1.0,20.0,0.0,11.5,2019
Łukasz Skorupski,pl POL,GK,Roma,it Serie A,1991,0,0,0.0,0.0,0.0,0.5,0.15,0.5,6.0,12.0,50.0,30.0,11.0,33.3,34.7,6.0,33.3,36.3,10.0,0.0,0.0,1.0,13.4,2019
Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,1988,42,4,0.0,6.0,1.0,40.8,0.27,-0.2,199.0,520.0,38.3,986.0,132.0,38.5,35.8,228.0,61.4,48.1,315.0,26.0,8.3,16.0,13.8,2019
David Soria,es ESP,GK,Sevilla,es La Liga,1993,19,2,0.0,1.0,1.0,17.5,0.29,-0.5,51.0,126.0,40.5,228.0,44.0,36.8,33.6,56.0,75.0,52.6,134.0,14.0,10.4,6.0,14.4,2019
Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,1979,59,4,2.0,13.0,4.0,55.8,0.28,0.8,257.0,653.0,39.4,774.0,170.0,51.0,39.7,361.0,71.5,46.2,434.0,16.0,3.7,14.0,12.6,2019
Julián Speroni,ar ARG,GK,Crystal Palace,eng Premier League,1979,14,1,0.0,4.0,0.0,10.9,0.25,-3.1,58.0,180.0,32.2,178.0,15.0,71.3,50.0,54.0,98.1,62.0,140.0,8.0,5.7,5.0,12.0,2019
Marco Sportiello,it ITA,GK,Fiorentina,it Serie A,1992,38,2,2.0,5.0,0.0,40.8,0.29,2.8,153.0,394.0,38.8,750.0,185.0,36.8,34.8,235.0,50.2,42.2,318.0,40.0,12.6,11.0,13.7,2019
Tom Starke,de GER,GK,Bayern Munich,de Bundesliga,1981,0,0,0.0,0.0,0.0,1.5,0.25,1.5,10.0,22.0,45.5,46.0,9.0,34.8,33.3,9.0,66.7,46.7,15.0,2.0,13.3,3.0,23.6,2019
Thomas Strakosha,al ALB,GK,Lazio,it Serie A,1995,49,9,2.0,5.0,2.0,51.1,0.29,4.1,248.0,509.0,48.7,854.0,163.0,45.8,37.9,250.0,47.2,43.2,290.0,12.0,4.1,23.0,15.2,2019
Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,1984,41,4,1.0,3.0,1.0,38.4,0.27,-1.6,117.0,348.0,33.6,503.0,86.0,50.7,42.8,140.0,66.4,53.7,356.0,30.0,8.4,21.0,15.8,2019
Seydou Sy,sn SEN,GK,Monaco,fr Ligue 1,1995,4,1,0.0,1.0,0.0,5.3,0.29,1.3,18.0,47.0,38.3,48.0,9.0,45.8,38.0,27.0,92.6,59.6,40.0,5.0,12.5,0.0,10.9,2019
Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,1990,9,0,1.0,2.0,0.0,11.5,0.34,2.5,107.0,194.0,55.2,354.0,74.0,38.4,36.2,85.0,68.2,49.4,126.0,6.0,4.8,2.0,12.5,2019
Ciprian Tătărușanu,ro ROU,GK,Nantes,fr Ligue 1,1986,38,2,0.0,7.0,0.0,31.6,0.23,-6.4,157.0,494.0,31.8,657.0,122.0,46.9,40.7,207.0,89.9,64.6,425.0,50.0,11.8,13.0,13.7,2019
Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,1992,28,2,0.0,1.0,0.0,35.7,0.27,7.7,147.0,308.0,47.7,917.0,126.0,27.0,30.1,98.0,61.2,47.8,290.0,27.0,9.3,22.0,15.9,2019
Kevin Trapp,de GER,GK,Paris S-G,fr Ligue 1,1990,4,2,0.0,0.0,0.0,6.7,0.33,2.7,4.0,6.0,66.7,55.0,11.0,10.9,21.5,5.0,0.0,21.4,48.0,3.0,6.3,0.0,12.3,2019
Philipp Tschauner,de GER,GK,Hannover 96,de Bundesliga,1985,45,2,1.0,12.0,0.0,47.5,0.31,2.5,271.0,579.0,46.8,852.0,150.0,49.3,38.8,252.0,63.1,45.7,297.0,10.0,3.4,21.0,15.3,2019
Przemysław Tytoń,pl POL,GK,La Coruña,es La Liga,1987,4,0,0.0,2.0,0.0,1.7,0.35,-2.3,3.0,12.0,25.0,15.0,1.0,53.3,41.4,7.0,57.1,44.0,11.0,1.0,9.1,1.0,14.0,2019
Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,1988,26,1,1.0,2.0,3.0,25.0,0.28,2.0,130.0,337.0,38.6,790.0,139.0,35.2,34.1,136.0,43.4,41.7,168.0,12.0,7.1,25.0,16.8,2019
Francis Uzoho,ng NGA,GK,La Coruña,es La Liga,1998,2,1,0.0,1.0,0.0,2.9,0.24,0.9,10.0,30.0,33.3,26.0,6.0,61.5,46.9,14.0,100.0,61.1,19.0,2.0,10.5,0.0,13.0,2019
Koke Vegas,es ESP,GK,Levante,es La Liga,1995,4,0,0.0,1.0,0.0,3.6,0.45,-0.4,5.0,17.0,29.4,18.0,2.0,66.7,42.3,5.0,100.0,55.6,13.0,0.0,0.0,1.0,9.8,2019
Rémy Vercoutre,fr FRA,GK,Caen,fr Ligue 1,1980,48,4,0.0,6.0,4.0,38.7,0.27,-5.3,303.0,657.0,46.1,712.0,74.0,68.7,50.5,176.0,95.5,64.6,360.0,33.0,9.2,17.0,14.5,2019
Emiliano Viviano,it ITA,GK,Sampdoria,it Serie A,1985,43,2,1.0,5.0,1.0,42.2,0.3,0.2,182.0,445.0,40.9,606.0,82.0,52.1,41.6,183.0,70.5,53.4,275.0,12.0,4.4,16.0,15.1,2019
Michel Vorm,nl NED,GK,Tottenham,eng Premier League,1983,1,0,0.0,0.0,1.0,0.2,0.04,0.2,4.0,7.0,57.1,19.0,7.0,26.3,29.3,9.0,22.2,34.1,12.0,0.0,0.0,1.0,20.5,2019
Roman Weidenfeller,de GER,GK,Dortmund,de Bundesliga,1980,4,0,0.0,1.0,0.0,3.4,0.49,-0.6,4.0,26.0,15.4,34.0,1.0,55.9,40.3,8.0,87.5,60.8,7.0,0.0,0.0,1.0,17.4,2019
Axel Werner,ar ARG,GK,Atlético Madrid,es La Liga,1996,0,0,0.0,0.0,0.0,0.5,0.16,0.5,2.0,10.0,20.0,9.0,1.0,66.7,49.9,4.0,100.0,60.3,12.0,0.0,0.0,0.0,9.7,2019
Yoel,es ESP,GK,Eibar,es La Liga,1988,1,0,0.0,0.0,0.0,0.8,0.16,0.8,9.0,25.0,36.0,22.0,1.0,95.5,58.4,4.0,100.0,65.3,13.0,1.0,7.7,3.0,16.3,2019
Erwin Zelazny,fr FRA,GK,Troyes,fr Ligue 1,1991,28,2,0.0,4.0,0.0,25.1,0.26,-2.9,118.0,341.0,34.6,396.0,49.0,55.6,44.8,126.0,96.0,65.4,224.0,24.0,10.7,9.0,15.2,2019
Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,1994,27,4,1.0,3.0,1.0,25.6,0.34,-0.4,97.0,298.0,32.6,387.0,79.0,53.0,42.4,124.0,75.0,57.3,116.0,11.0,9.5,19.0,15.6,2019
Luca Zidane,fr FRA,GK,Real Madrid,es La Liga,1998,2,0,0.0,0.0,0.0,1.0,0.25,-1.0,0.0,1.0,0.0,18.0,3.0,5.6,25.2,2.0,0.0,23.0,5.0,1.0,20.0,0.0,11.2,2019
Ron-Robert Zieler,de GER,GK,Stuttgart,de Bundesliga,1989,36,4,2.0,2.0,0.0,42.9,0.27,6.9,299.0,880.0,34.0,1015.0,111.0,63.6,46.8,279.0,83.9,62.8,359.0,28.0,7.8,23.0,14.9,2019
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,1987,0,0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,3.0,33.3,5.0,1.0,40.0,44.0,1.0,100.0,67.0,2.0,0.0,0.0,1.0,14.7,2020
Adrián,es ESP,GK,Liverpool,eng Premier League,1987,10,0,1.0,1.0,0.0,9.0,0.32,-1.0,60.0,142.0,42.3,246.0,49.0,44.3,38.3,68.0,48.5,40.2,91.0,8.0,8.8,7.0,13.0,2020
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,1995,17,0,0.0,3.0,1.0,13.0,0.28,-3.0,61.0,145.0,42.1,246.0,54.0,37.8,35.9,81.0,64.2,49.2,90.0,8.0,8.9,5.0,14.1,2020
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,1988,4,0,0.0,0.0,0.0,2.0,0.18,-2.0,11.0,32.0,34.4,51.0,8.0,45.1,37.0,24.0,37.5,32.8,38.0,2.0,5.3,4.0,16.3,2020
Alisson,br BRA,GK,Liverpool,eng Premier League,1992,23,1,0.0,1.0,1.0,22.6,0.28,0.6,138.0,255.0,54.1,755.0,132.0,24.9,31.7,170.0,39.4,38.8,197.0,16.0,8.1,37.0,17.5,2020
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,1986,1,0,0.0,0.0,0.0,1.1,0.28,0.1,8.0,22.0,36.4,34.0,5.0,32.4,35.6,19.0,57.9,43.0,24.0,2.0,8.3,0.0,16.5,2020
Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,1995,16,0,1.0,1.0,0.0,13.0,0.29,-3.0,33.0,66.0,50.0,97.0,45.0,33.0,35.4,66.0,51.5,43.5,56.0,1.0,1.8,2.0,12.5,2020
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,1984,16,0,0.0,1.0,1.0,13.1,0.26,-1.9,100.0,188.0,53.2,358.0,58.0,32.7,32.9,100.0,71.0,48.6,102.0,13.0,12.7,12.0,15.9,2020
Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,1993,5,2,0.0,1.0,0.0,4.8,0.27,-0.2,16.0,36.0,44.4,106.0,26.0,18.9,28.5,29.0,55.2,42.5,39.0,1.0,2.6,5.0,14.2,2020
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,1993,2,0,0.0,0.0,0.0,1.8,0.46,-0.2,3.0,4.0,75.0,48.0,9.0,4.2,20.0,10.0,20.0,24.5,15.0,0.0,0.0,6.0,23.8,2020
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,1994,47,2,2.0,8.0,2.0,35.5,0.35,-9.5,142.0,333.0,42.6,887.0,145.0,28.2,31.8,199.0,41.7,39.1,238.0,18.0,7.6,21.0,15.9,2020
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,1989,41,5,0.0,8.0,1.0,39.5,0.24,-0.5,166.0,451.0,36.8,759.0,150.0,39.3,37.2,280.0,54.6,44.8,354.0,20.0,5.6,18.0,13.9,2020
Emil Audero,it ITA,GK,Sampdoria,it Serie A,1997,60,7,0.0,11.0,4.0,52.8,0.29,-3.2,203.0,558.0,36.4,748.0,130.0,50.1,41.5,289.0,63.3,46.8,399.0,32.0,8.0,19.0,14.2,2020
Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,2001,1,0,0.0,0.0,0.0,0.3,0.14,-0.7,3.0,3.0,100.0,11.0,4.0,0.0,21.1,8.0,37.5,34.8,6.0,0.0,0.0,2.0,20.4,2020
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,1990,49,5,0.0,4.0,2.0,42.3,0.26,-4.7,163.0,436.0,37.4,1038.0,181.0,32.0,32.7,265.0,39.2,36.7,308.0,16.0,5.2,33.0,15.3,2020
Asmir Begović,ba BIH,GK,Milan,it Serie A,1987,3,1,0.0,0.0,0.0,3.2,0.41,0.2,4.0,11.0,36.4,24.0,5.0,33.3,32.8,12.0,25.0,32.3,8.0,0.0,0.0,0.0,15.5,2020
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,1993,36,4,0.0,7.0,2.0,44.7,0.32,10.7,87.0,203.0,42.9,573.0,132.0,22.7,27.6,212.0,34.4,34.0,256.0,18.0,7.0,9.0,14.0,2020
Etrit Berisha,al ALB,GK,SPAL,it Serie A,1989,41,6,1.0,2.0,2.0,44.1,0.28,2.1,196.0,440.0,44.5,650.0,136.0,46.0,37.4,234.0,60.3,45.9,275.0,21.0,7.6,14.0,13.6,2020
Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,1997,38,4,0.0,3.0,1.0,33.1,0.31,-3.9,134.0,407.0,32.9,529.0,77.0,51.2,42.4,176.0,77.3,55.4,166.0,14.0,8.4,14.0,15.2,2020
Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,1998,3,0,0.0,1.0,0.0,1.6,0.26,-1.4,15.0,23.0,65.2,49.0,19.0,32.7,31.5,18.0,38.9,39.4,13.0,1.0,7.7,2.0,14.3,2020
Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,1995,43,5,3.0,3.0,0.0,40.5,0.29,-2.5,213.0,573.0,37.2,696.0,121.0,53.9,42.5,294.0,67.3,52.9,336.0,21.0,6.3,11.0,14.3,2020
Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,1991,3,1,0.0,0.0,0.0,3.8,0.16,0.8,42.0,84.0,50.0,125.0,24.0,41.6,36.4,45.0,71.1,51.2,40.0,3.0,7.5,2.0,15.5,2020
Federico Brancolini,it ITA,GK,Fiorentina,it Serie A,2001,0,0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,2.0,0.0,0.0,27.5,1.0,100.0,67.0,0.0,0.0,,0.0,21.0,2020
Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,1983,7,0,0.0,0.0,0.0,4.2,0.28,-2.8,19.0,47.0,40.4,104.0,13.0,27.9,31.5,28.0,64.3,48.2,35.0,3.0,8.6,1.0,12.4,2020
Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,1978,10,1,0.0,2.0,0.0,7.6,0.21,-2.4,22.0,38.0,57.9,157.0,40.0,17.8,27.4,55.0,18.2,22.9,76.0,1.0,1.3,7.0,16.4,2020
Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,1990,40,3,0.0,8.0,3.0,34.7,0.36,-2.3,116.0,320.0,36.3,843.0,181.0,29.8,32.8,204.0,33.8,34.3,221.0,15.0,6.8,27.0,14.8,2020
Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,1983,32,3,1.0,1.0,1.0,24.4,0.28,-6.6,149.0,384.0,38.8,493.0,114.0,47.5,39.8,203.0,73.9,52.5,185.0,15.0,8.1,21.0,14.9,2020
